item,value
stage,selector_comparison_greedy_vs_regularized
payload_length_bits,4096
candidate_count,10330
block_size,16
num_blocks,256
greedy_max_block_count,186
regularized_max_block_count,77
greedy_std_block_count,40.979796851619454
regularized_std_block_count,20.52646919224054
greedy_mean_utility_selected,0.6325421333312988
regularized_mean_utility_selected,0.5786603689193726
greedy_mean_suitability_selected,0.4346802830696106
regularized_mean_suitability_selected,0.35178521275520325
greedy_basis_match_selected,1.0
regularized_basis_match_selected,1.0
